rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
1998-01-02,KO,0.08651200403285093,164.75,1.0
1998-01-02,MSFT,0.08263143523283414,157.36,0.0
1998-01-02,XOM,0.07894515742821737,150.34,0.0
1998-01-02,GE,0.07529563737948707,143.39,0.0
1998-01-02,INTC,0.06005692201054423,114.37,0.0
1998-01-02,MRK,0.059757608855468505,113.8,0.0
1998-01-02,PG,0.05578252011174358,106.23,0.0
1998-01-02,IBM,0.050274107836753554,95.74,0.0
1998-01-02,PFE,0.04801613140372619,91.44,0.0
1998-01-02,BMY,0.04696065869898549,89.43,0.0
1998-01-02,WMT,0.04652481673633137,88.6,0.0
1998-01-02,JNJ,0.04652481673633137,88.6,0.0
1998-01-02,LLY,0.040617320254573715,77.35,0.0
1998-01-02,VZ,0.03710432901342183,70.66,0.0
1998-01-02,DIS,0.03519292570732425,67.02,0.0
1998-01-02,AIG,0.033134491377680694,63.1,0.0
1998-01-02,C,0.03239408515196707,61.69,0.0
1998-01-02,CSCO,0.029427209141128778,56.04,0.0
1998-01-02,PEP,0.028592282971707034,54.45,0.0
1998-01-02,T,0.026255539918922894,50.0,0.0
1998-02-02,KO,0.08203825252993044,164.1345922575271,0.014734565776765098
1998-02-02,MSFT,0.09289800702453342,185.86179049761887,0.0
1998-02-02,XOM,0.07347354949357308,146.99912194547423,0.0
1998-02-02,GE,0.076088481103457,152.23083666798163,0.0
1998-02-02,INTC,0.06540509876369657,130.85650761790708,0.0
1998-02-02,MRK,0.06223090448601601,124.5058715737861,0.0
1998-02-02,PG,0.05231643314852591,104.66990895580886,0.0
1998-02-02,IBM,0.045559522537883014,91.15130350289758,0.0
1998-02-02,PFE,0.04989304094105445,99.82140865763053,0.0
1998-02-02,BMY,0.04838965700489425,96.81357631407658,0.0
1998-02-02,WMT,0.04590105785081138,91.8346159528866,0.0
1998-02-02,JNJ,0.04683671315887996,93.70658905991247,0.0
1998-02-02,LLY,0.03890669233286228,77.84093255537827,0.0
1998-02-02,VZ,0.03638013097557036,72.78602090862618,0.0
1998-02-02,DIS,0.03663649307421625,73.29892662314242,0.0
1998-02-02,AIG,0.03212950385482348,64.28175700992797,0.0
1998-02-02,C,0.030041626135655967,60.10452324944399,0.0
1998-02-02,CSCO,0.030844262780413117,61.710364845961436,0.0
1998-02-02,PEP,0.02759336671977235,55.20627092721051,0.0
1998-02-02,T,0.026437206083430715,52.893131034806,0.0
1998-03-02,KO,0.08060350183256187,167.36498187281336,0.015902509950646522
1998-03-02,MSFT,0.09630266827986352,199.96270589389894,0.0
1998-03-02,XOM,0.07480089192829252,155.31645197816397,0.0
1998-03-02,GE,0.07144838188534226,148.35530550425077,0.0
1998-03-02,INTC,0.06648253251140725,138.04422383216382,0.0
1998-03-02,MRK,0.0645773736328412,134.08835499363124,0.0
1998-03-02,PG,0.05231162114905834,108.61976621731297,0.0
1998-03-02,IBM,0.044588587065314544,92.58367063781876,0.0
1998-03-02,PFE,0.05121040453019268,106.33320179685704,0.0
1998-03-02,BMY,0.0461990225092841,95.92757620965357,0.0
1998-03-02,WMT,0.050797670797709846,105.47620213698143,0.0
1998-03-02,JNJ,0.04917977422405722,102.11680428744444,0.0
1998-03-02,LLY,0.035235282730478795,73.1624845248067,0.0
1998-03-02,VZ,0.03484167579847452,72.34519972275488,0.0
1998-03-02,DIS,0.03548349204399536,73.67786594512835,0.0
1998-03-02,AIG,0.033183147147465515,68.9014334929913,0.0
1998-03-02,C,0.030545479612835567,63.42458485635411,0.0
1998-03-02,CSCO,0.030329997463609443,62.97715806745279,0.0
