rebalance_date,invest_year,select_year,ticker,assigned_weight,updated_mktcap_bn,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.08651200403285093,164.75,1.0,0.0
1998-01-02,1998,1997,MSFT,0.08263143523283414,157.36,0.0,0.0
1998-01-02,1998,1997,XOM,0.07894515742821737,150.34,0.0,0.0
1998-01-02,1998,1997,GE,0.07529563737948707,143.39,0.0,0.0
1998-01-02,1998,1997,INTC,0.06005692201054423,114.37,0.0,0.0
1998-01-02,1998,1997,MRK,0.059757608855468505,113.8,0.0,0.0
1998-01-02,1998,1997,PG,0.05578252011174358,106.23,0.0,0.0
1998-01-02,1998,1997,IBM,0.050274107836753554,95.74,0.0,0.0
1998-01-02,1998,1997,PFE,0.04801613140372619,91.44,0.0,0.0
1998-01-02,1998,1997,BMY,0.04696065869898549,89.43,0.0,0.0
1998-01-02,1998,1997,WMT,0.04652481673633137,88.6,0.0,0.0
1998-01-02,1998,1997,JNJ,0.04652481673633137,88.6,0.0,0.0
1998-01-02,1998,1997,LLY,0.040617320254573715,77.35,0.0,0.0
1998-01-02,1998,1997,VZ,0.03710432901342183,70.66,0.0,0.0
1998-01-02,1998,1997,DIS,0.03519292570732425,67.02,0.0,0.0
1998-01-02,1998,1997,AIG,0.033134491377680694,63.1,0.0,0.0
1998-01-02,1998,1997,C,0.03239408515196707,61.69,0.0,0.0
1998-01-02,1998,1997,CSCO,0.029427209141128778,56.04,0.0,0.0
1998-01-02,1998,1997,PEP,0.028592282971707034,54.45,0.0,0.0
1998-01-02,1998,1997,T,0.026255539918922894,50.0,0.0,0.0
1998-04-01,1998,1997,KO,0.09000959183487367,198.8489791474412,0.015957,0.0
1998-04-01,1998,1997,MSFT,0.09818664766455784,216.91371170558116,0.0,0.0
1998-04-01,1998,1997,XOM,0.07632465588796433,168.61625075407994,0.0,0.0
1998-04-01,1998,1997,GE,0.07611413731017641,168.15117360584117,0.0,0.0
1998-04-01,1998,1997,INTC,0.05526593847216651,122.09338163621982,0.0,0.0
1998-04-01,1998,1997,MRK,0.062382669650965665,137.81564746281236,0.0,0.0
1998-04-01,1998,1997,PG,0.05218411769425846,115.28503040264656,0.0,0.0
1998-04-01,1998,1997,IBM,0.0429360447089719,94.85420925661883,0.0,0.0
1998-04-01,1998,1997,PFE,0.05416138069312928,119.65319518171553,0.0,0.0
1998-04-01,1998,1997,BMY,0.045570864030715974,100.67504592175932,0.0,0.0
1998-04-01,1998,1997,WMT,0.05253453768832009,116.05917743155253,0.0,0.0
1998-04-01,1998,1997,JNJ,0.045373199823140024,100.23836661804052,0.0,0.0
1998-04-01,1998,1997,LLY,0.030283151758760826,66.90146783071545,0.0,0.0
1998-04-01,1998,1997,VZ,0.03596213380835607,79.44746165357748,0.0,0.0
1998-04-01,1998,1997,DIS,0.03232139460206206,71.4043491390606,0.0,0.0
1998-04-01,1998,1997,AIG,0.03276478650028324,72.38388948055304,0.0,0.0
1998-04-01,1998,1997,C,0.031194414089834782,68.91462643498953,0.0,0.0
1998-04-01,1998,1997,CSCO,0.03028163456670876,66.89811605359289,0.0,0.0
1998-04-01,1998,1997,PEP,0.029960673699500767,66.18905005863012,0.0,0.0
1998-04-01,1998,1997,T,0.02618802551525347,57.85452453943576,0.0,0.0
1998-07-01,1998,1997,KO,0.08897043317027485,211.88029617421466,0.013599,0.0
1998-07-01,1998,1997,MSFT,0.11023308960648212,262.5166456065263,0.0,0.0
1998-07-01,1998,1997,XOM,0.07533374592164252,179.40495318531833,0.0,0.0
1998-07-01,1998,1997,GE,0.07448835108495117,177.39167189624666,0.0,0.0
1998-07-01,1998,1997,INTC,0.049757161814937736,118.49512030542319,0.0,0.0
1998-07-01,1998,1997,MRK,0.05956490007109699,141.8519413578409,0.0,0.0
1998-07-01,1998,1997,PG,0.05118997294086025,121.90731506389044,0.0,0.0
1998-07-01,1998,1997,IBM,0.04460914951889332,106.23529048188114,0.0,0.0
1998-07-01,1998,1997,PFE,0.05459478169920725,130.0157603353039,0.0,0.0
1998-07-01,1998,1997,BMY,0.0466354241612417,111.06079999164618,0.0,0.0
1998-07-01,1998,1997,WMT,0.057328868869259406,136.5269031803442,0.0,0.0
1998-07-01,1998,1997,JNJ,0.042165348341174906,100.41545462320997,0.0,0.0
1998-07-01,1998,1997,LLY,0.030606770267075995,72.88906345676698,0.0,0.0
1998-07-01,1998,1997,VZ,0.03079845316617354,73.34555026912847,0.0,0.0
1998-07-01,1998,1997,DIS,0.030097923683462677,71.67726127708232,0.0,0.0
1998-07-01,1998,1997,AIG,0.03521597513852714,83.86574029750629,0.0,0.0
1998-07-01,1998,1997,C,0.03069976584161855,73.11052950087691,0.0,0.0
1998-07-01,1998,1997,CSCO,0.0383244980674573,91.2685901587129,0.0,0.0
1998-07-01,1998,1997,PEP,0.02684115622135221,63.9213717095686,0.0,0.0
1998-07-01,1998,1997,T,0.022544230414310355,53.68837766656745,0.0,0.0
1998-10-01,1998,1997,KO,0.06520345644434143,139.33176877512219,0.020407,0.0
1998-10-01,1998,1997,MSFT,0.11688351146803933,249.76569159935255,0.0,0.0
1998-10-01,1998,1997,XOM,0.08171824232796676,174.6218354922468,0.0,0.0
1998-10-01,1998,1997,GE,0.06926775685187059,148.01667898533285,0.0,0.0
1998-10-01,1998,1997,INTC,0.061559571849437784,131.5452354606846,0.0,0.0
1998-10-01,1998,1997,MRK,0.06259259154465587,133.75267152562904,0.0,0.0
1998-10-01,1998,1997,PG,0.044097792329061074,94.23155978749207,0.0,0.0
1998-10-01,1998,1997,IBM,0.053479359262206025,114.27881473314186,0.0,0.0
1998-10-01,1998,1997,PFE,0.056653751653968465,121.06210093987998,0.0,0.0
1998-10-01,1998,1997,BMY,0.04426146105793357,94.5812997358098,0.0,0.0
1998-10-01,1998,1997,WMT,0.05617262580286652,120.03399415700271,0.0,0.0
1998-10-01,1998,1997,JNJ,0.04915867291877821,105.04603930403258,0.0,0.0
1998-10-01,1998,1997,LLY,0.04043829740022939,86.41166910895186,0.0,0.0
1998-10-01,1998,1997,VZ,0.03614505187286873,77.23753132955879,0.0,0.0
